               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.038704,            0.011659,            0.010544,             0.81368,              0.7173,             0.76356,             0.32374,              0.0344,           0.0089738,           0.0056443,            0.008119,            0.008119,            0.008119
                  59,            0.041473,            0.011063,            0.011054,             0.85379,             0.75624,             0.80243,              0.3421,            0.030044,           0.0089037,           0.0058948,            0.008086,            0.008086,            0.008086
                  60,            0.041991,            0.010844,           0.0096579,             0.83453,             0.72352,             0.77738,             0.31237,            0.031402,           0.0089595,           0.0051331,            0.008053,            0.008053,            0.008053
                  61,            0.040236,            0.011211,           0.0097082,             0.84034,             0.72946,             0.78807,             0.33875,            0.030225,           0.0091715,           0.0054954,             0.00802,             0.00802,             0.00802
                  62,            0.038366,             0.01132,            0.010113,             0.81514,             0.72075,             0.77177,             0.33034,            0.030078,             0.00907,            0.011474,            0.007987,            0.007987,            0.007987
                  63,            0.038769,            0.011653,           0.0094987,             0.85126,             0.75269,             0.80539,             0.33852,            0.030752,           0.0088239,           0.0049428,            0.007954,            0.007954,            0.007954
                  64,            0.039489,            0.011457,           0.0092154,             0.85366,             0.71453,              0.7725,             0.31461,             0.03083,           0.0092147,           0.0056782,            0.007921,            0.007921,            0.007921
                  65,            0.037977,            0.011411,           0.0089374,             0.83852,             0.73592,             0.78454,             0.30591,            0.031897,           0.0090555,           0.0048116,            0.007888,            0.007888,            0.007888
                  66,            0.039599,            0.011119,           0.0091512,             0.87517,             0.73635,             0.79303,             0.31943,            0.029968,           0.0090402,           0.0047768,            0.007855,            0.007855,            0.007855
                  67,            0.039748,            0.010911,           0.0094542,             0.86824,             0.71454,             0.79725,             0.34399,            0.028534,           0.0092658,           0.0053523,            0.007822,            0.007822,            0.007822
                  68,            0.037721,            0.011232,           0.0084815,             0.87904,             0.76987,             0.81278,             0.34467,             0.02987,           0.0086247,            0.005017,            0.007789,            0.007789,            0.007789
                  69,            0.039282,            0.010997,            0.010226,             0.85403,             0.72111,             0.78804,             0.34247,            0.030823,           0.0090393,           0.0050459,            0.007756,            0.007756,            0.007756
                  70,            0.037151,            0.011064,           0.0083269,             0.82257,             0.73617,             0.77566,             0.31598,            0.031393,           0.0091077,           0.0053086,            0.007723,            0.007723,            0.007723
                  71,            0.038727,            0.011119,           0.0085197,             0.85397,             0.77738,              0.8161,             0.34208,            0.028465,            0.009046,           0.0042515,             0.00769,             0.00769,             0.00769
                  72,            0.035458,            0.011002,           0.0086175,             0.85227,             0.79728,             0.83372,             0.35814,             0.02981,           0.0088099,           0.0042759,            0.007657,            0.007657,            0.007657
                  73,            0.036794,            0.010315,           0.0082392,             0.88382,             0.78911,             0.84217,             0.37099,            0.027827,           0.0086842,           0.0036916,            0.007624,            0.007624,            0.007624
                  74,            0.038427,            0.010824,           0.0090289,             0.84819,             0.75053,             0.80909,             0.34586,            0.031162,           0.0089595,           0.0042752,            0.007591,            0.007591,            0.007591
                  75,            0.040671,            0.010847,           0.0088427,             0.88695,              0.7724,             0.83216,              0.3521,            0.029563,            0.008798,           0.0039076,            0.007558,            0.007558,            0.007558
                  76,            0.036801,            0.011372,           0.0084752,             0.84236,             0.76917,             0.81767,             0.35862,             0.03167,           0.0089579,           0.0056214,            0.007525,            0.007525,            0.007525
                  77,            0.035104,            0.010626,           0.0064634,             0.89196,              0.7681,             0.81694,             0.31503,            0.033216,           0.0086491,           0.0036178,            0.007492,            0.007492,            0.007492
                  78,            0.039583,            0.011282,           0.0085626,             0.88626,             0.76653,             0.81667,             0.32842,            0.030399,           0.0086626,           0.0038517,            0.007459,            0.007459,            0.007459
                  79,            0.037576,            0.011005,           0.0084288,             0.91181,             0.80857,             0.86742,             0.38698,            0.031086,            0.008375,           0.0034236,            0.007426,            0.007426,            0.007426
                  80,            0.036649,            0.010263,           0.0080466,             0.89739,             0.79394,             0.84924,              0.3533,            0.031018,           0.0086766,           0.0035225,            0.007393,            0.007393,            0.007393
                  81,            0.038362,            0.010583,           0.0074132,             0.88824,             0.79587,             0.85532,             0.36038,            0.029265,           0.0085926,           0.0031486,             0.00736,             0.00736,             0.00736
                  82,            0.036622,            0.010576,           0.0066861,              0.8898,               0.804,             0.85208,             0.36235,            0.030995,            0.008643,           0.0033498,            0.007327,            0.007327,            0.007327
                  83,            0.036927,            0.010267,           0.0082748,             0.89678,             0.78556,             0.85288,             0.35573,            0.029084,           0.0087504,            0.003242,            0.007294,            0.007294,            0.007294
                  84,            0.039392,            0.010784,           0.0089415,             0.91803,             0.77986,             0.85466,              0.3608,            0.030029,           0.0085375,            0.003072,            0.007261,            0.007261,            0.007261
                  85,            0.034549,            0.010989,           0.0068398,             0.91532,             0.79224,             0.86861,                0.39,            0.029356,           0.0086668,           0.0036019,            0.007228,            0.007228,            0.007228
                  86,            0.037432,            0.010586,           0.0072688,             0.90914,             0.82058,             0.86559,             0.36551,            0.030791,           0.0082162,           0.0029651,            0.007195,            0.007195,            0.007195
                  87,            0.037512,            0.010998,           0.0068445,             0.90712,             0.80307,             0.85409,             0.35095,            0.028578,           0.0084694,           0.0029051,            0.007162,            0.007162,            0.007162
                  88,            0.038379,            0.010477,           0.0079197,             0.92429,             0.82159,             0.87492,             0.38032,             0.02833,           0.0084315,           0.0029329,            0.007129,            0.007129,            0.007129
                  89,            0.038782,            0.010946,           0.0074091,             0.90135,             0.82226,             0.86543,             0.37658,            0.029041,           0.0086352,           0.0029333,            0.007096,            0.007096,            0.007096
                  90,             0.03601,            0.010873,           0.0073453,             0.91692,             0.83033,             0.87666,              0.4021,            0.028525,           0.0082679,           0.0027739,            0.007063,            0.007063,            0.007063
                  91,            0.038755,            0.010801,           0.0082135,             0.89016,             0.80791,             0.86144,             0.38353,            0.028457,           0.0086207,           0.0030978,             0.00703,             0.00703,             0.00703
                  92,            0.039663,            0.010503,           0.0077521,             0.91908,             0.81731,              0.8674,             0.38321,            0.027397,           0.0082682,           0.0030975,            0.006997,            0.006997,            0.006997
                  93,            0.035776,            0.010883,           0.0071754,             0.91592,             0.81083,             0.85976,             0.37208,             0.02819,           0.0083848,           0.0030408,            0.006964,            0.006964,            0.006964
                  94,            0.035873,            0.010733,           0.0068115,             0.87955,             0.78248,             0.82416,             0.33858,            0.029007,           0.0085136,            0.003425,            0.006931,            0.006931,            0.006931
                  95,            0.037264,            0.010404,           0.0075636,             0.92236,             0.81234,             0.86635,              0.3911,            0.027283,           0.0083089,           0.0031045,            0.006898,            0.006898,            0.006898
                  96,             0.03583,            0.010711,           0.0071029,             0.91532,             0.81139,             0.86218,             0.39648,            0.027922,           0.0083425,           0.0031418,            0.006865,            0.006865,            0.006865
                  97,            0.034969,            0.010298,           0.0072387,             0.93129,              0.8217,              0.8828,             0.39493,            0.026361,           0.0083032,           0.0027822,            0.006832,            0.006832,            0.006832
                  98,            0.037198,             0.01065,            0.007359,             0.89097,             0.83446,             0.87475,             0.38868,            0.028229,           0.0084117,           0.0030405,            0.006799,            0.006799,            0.006799
                  99,            0.035272,            0.010365,           0.0068267,             0.89113,             0.84383,             0.87811,             0.38191,            0.027967,           0.0084091,           0.0028074,            0.006766,            0.006766,            0.006766
                 100,            0.035431,            0.010341,           0.0065533,             0.92724,             0.84314,             0.89119,             0.40544,            0.026386,            0.008162,           0.0025607,            0.006733,            0.006733,            0.006733
                 101,            0.035704,            0.010605,           0.0060305,             0.92628,             0.84443,             0.89141,              0.3925,            0.027646,           0.0081111,           0.0027535,              0.0067,              0.0067,              0.0067
                 102,            0.036573,            0.010121,           0.0077118,             0.95464,             0.79462,              0.8776,             0.38349,            0.027296,           0.0082403,           0.0027093,            0.006667,            0.006667,            0.006667
                 103,            0.035206,              0.0103,           0.0059889,             0.94021,             0.84489,             0.89405,             0.40919,            0.026094,           0.0079643,           0.0027049,            0.006634,            0.006634,            0.006634
                 104,            0.036863,             0.00999,            0.006744,             0.92338,             0.83332,             0.88867,             0.38873,            0.026435,           0.0081651,           0.0026275,            0.006601,            0.006601,            0.006601
                 105,            0.034269,            0.010301,             0.00697,             0.92308,             0.82599,             0.88574,             0.41246,            0.026789,           0.0080869,           0.0026667,            0.006568,            0.006568,            0.006568
